

 F
+----------------+-----+----------+-----+-----+-----+-----+----+-----+-----+
|     Phrase     |  F  | Othermax |  A  |  I  |  LR |  R  | SO |  SP |  SS |
|   admission    |  21 |    29    |  29 |  4  |  2  |  5  | 0  |  12 |  0  |
|   Collector    |  19 |    3     |  2  |  0  |  0  |  2  | 0  |  0  |  3  |
|    question    |  28 |    53    |  26 |  22 |  21 |  17 | 14 |  53 |  6  |
|      Act,      |  17 |    26    |  17 |  8  |  2  |  7  | 0  |  6  |  26 |
|     marks      |  29 |    21    |  21 |  3  |  2  |  11 | 0  |  16 |  0  |
|     decree     |  26 |    60    |  14 |  4  |  16 |  60 | 3  |  4  |  19 |
|      land      |  22 |    25    |  11 |  21 |  22 |  19 | 0  |  25 |  4  |
|     March      |  20 |    5     |  5  |  2  |  1  |  3  | 0  |  1  |  4  |
|  respondents   |  23 |    22    |  22 |  3  |  7  |  6  | 4  |  6  |  0  |
|       3        | 164 |    92    |  87 |  14 |  44 |  46 | 33 |  75 |  92 |
|     April      |  23 |    5     |  4  |  0  |  4  |  3  | 0  |  5  |  4  |
|    referred    |  22 |    10    |  6  |  2  |  3  |  6  | 0  |  5  |  10 |
|      held      |  18 |    35    |  26 |  4  |  32 |  12 | 4  |  35 |  5  |
|     seats      |  16 |    10    |  5  |  4  |  0  |  6  | 0  |  10 |  0  |
|    partners    |  61 |    62    |  31 |  3  |  62 |  0  | 2  |  14 |  17 |
|     facts      |  15 |    18    |  7  |  3  |  4  |  13 | 7  |  18 |  4  |
|     August     |  16 |    4     |  4  |  2  |  3  |  3  | 0  |  1  |  1  |
|     amount     |  18 |    58    |  58 |  2  |  10 |  5  | 2  |  8  |  37 |
|  certificate   |  21 |    12    |  9  |  11 |  12 |  11 | 1  |  1  |  7  |
|     could      |  15 |    22    |  22 |  1  |  14 |  10 | 0  |  22 |  1  |
|      due       |  17 |    10    |  10 |  2  |  8  |  7  | 1  |  1  |  8  |
|   defendant    |  37 |    30    |  4  |  1  |  30 |  22 | 0  |  1  |  4  |
|      one       |  84 |    65    |  43 |  13 |  36 |  39 | 12 |  65 |  42 |
|      tax       |  44 |    55    |  55 |  8  |  9  |  8  | 1  |  22 |  53 |
|    Tribunal    |  20 |    37    |  11 |  13 |  37 |  6  | 7  |  3  |  1  |
|    adverse     |  15 |    11    |  3  |  0  |  0  |  11 | 0  |  1  |  0  |
|  confidential  |  15 |    9     |  1  |  0  |  0  |  9  | 0  |  1  |  0  |
|   candidates   |  16 |    16    |  16 |  3  |  0  |  5  | 0  |  15 |  0  |
|      bars      |  16 |    5     |  0  |  1  |  5  |  4  | 2  |  0  |  0  |
|    petition    |  26 |    13    |  13 |  3  |  11 |  4  | 0  |  6  |  1  |
|      July      |  20 |    3     |  2  |  0  |  3  |  1  | 0  |  0  |  2  |
|  application   |  18 |    21    |  18 |  1  |  10 |  8  | 1  |  2  |  21 |
|     notice     |  24 |    9     |  6  |  0  |  2  |  9  | 0  |  1  |  4  |
|    Section     |  15 |    43    |  43 |  10 |  6  |  27 | 0  |  20 |  31 |
|      pay       |  29 |    40    |  40 |  0  |  15 |  12 | 0  |  13 |  36 |
|    Manager     |  16 |    10    |  0  |  0  |  0  |  3  | 0  |  0  |  10 |
|      Code      |  15 |    28    |  1  |  7  |  13 |  28 | 2  |  0  |  5  |
|      came      |  14 |    6     |  3  |  0  |  4  |  3  | 1  |  6  |  0  |
|      set       |  19 |    28    |  13 |  5  |  9  |  28 | 3  |  16 |  13 |
|    respect     |  20 |    18    |  10 |  2  |  8  |  12 | 1  |  8  |  18 |
|     period     |  15 |    7     |  4  |  1  |  2  |  7  | 0  |  5  |  5  |
|     would      |  13 |    41    |  41 |  1  |  7  |  37 | 4  |  29 |  6  |
|      per       | 101 |    81    |  64 |  8  |  31 |  65 | 4  |  50 |  81 |
|    interest    |  19 |    14    |  8  |  2  |  4  |  9  | 2  |  9  |  14 |
|    service     |  24 |   111    | 111 |  5  |  0  |  8  | 0  |  10 |  79 |
|    December    |  14 |    3     |  3  |  2  |  3  |  1  | 0  |  0  |  1  |
|   aforesaid    |  13 |    12    |  12 |  0  |  0  |  7  | 0  |  8  |  0  |
|     Region     |  19 |    2     |  2  |  0  |  1  |  2  | 0  |  0  |  0  |
|      50%       |  13 |    16    |  16 |  2  |  2  |  1  | 0  |  9  |  0  |
|       28       |  17 |    6     |  6  |  0  |  0  |  0  | 1  |  6  |  0  |
|    however,    |  12 |    5     |  5  |  2  |  2  |  3  | 1  |  4  |  1  |
|    required    |  12 |    9     |  3  |  0  |  4  |  9  | 1  |  6  |  1  |
|    present     |  31 |    20    |  13 |  4  |  13 |  20 | 2  |  9  |  6  |
|     given      |  12 |    14    |  14 |  1  |  7  |  7  | 1  |  11 |  7  |
|     Indian     |  12 |    9     |  9  |  1  |  2  |  2  | 0  |  4  |  5  |
|     effect     |  17 |    12    |  7  |  3  |  2  |  12 | 3  |  6  |  9  |
|     Bihar      |  17 |    6     |  1  |  0  |  1  |  6  | 0  |  0  |  2  |
|    purpose     |  15 |    13    |  13 |  7  |  4  |  12 | 2  |  11 |  9  |
|     passed     |  12 |    25    |  10 |  6  |  2  |  25 | 1  |  1  |  3  |
|   management   |  14 |    16    |  1  |  2  |  4  |  4  | 0  |  0  |  16 |
|      name      |  22 |    11    |  11 |  0  |  11 |  2  | 0  |  7  |  8  |
|      list      |  15 |    4     |  3  |  0  |  1  |  2  | 0  |  4  |  1  |
|     shares     |  12 |    13    |  13 |  0  |  2  |  4  | 3  |  6  |  11 |
|    Medical     |  12 |    15    |  15 |  1  |  0  |  2  | 0  |  5  |  1  |
|      law       |  18 |    75    |  35 |  8  |  15 |  14 | 13 |  75 |  9  |
|     court      |  12 |    26    |  10 |  1  |  14 |  13 | 4  |  26 |  7  |
|      Rule      |  18 |    26    |  14 |  0  |  11 |  19 | 0  |  3  |  26 |
|    profits     |  11 |    13    |  6  |  0  |  12 |  2  | 3  |  10 |  13 |
|       2        | 301 |   178    | 178 |  43 |  95 |  77 | 91 | 130 | 134 |
|    without     |  11 |    10    |  5  |  1  |  5  |  10 | 1  |  6  |  9  |
|      Act.      |  11 |    8     |  8  |  4  |  4  |  5  | 0  |  5  |  7  |
|     Court.     |  11 |    9     |  1  |  3  |  5  |  9  | 0  |  2  |  0  |
|    premises    |  11 |    13    |  6  |  2  |  13 |  1  | 0  |  1  |  9  |
|  construction  |  12 |    9     |  7  |  1  |  1  |  2  | 1  |  3  |  9  |
|    business    |  13 |    16    |  8  |  3  |  12 |  2  | 1  |  16 |  10 |
|       s.       | 172 |   108    | 108 |  8  |  55 |  57 | 16 |  68 |  46 |
|     Excise     |  13 |    9     |  9  |  0  |  3  |  1  | 0  |  3  |  4  |
|       1        | 572 |   252    | 241 |  80 | 140 | 129 | 95 | 252 | 145 |
|      him.      |  10 |    3     |  1  |  0  |  3  |  3  | 0  |  0  |  1  |
|    evidence    |  12 |    22    |  5  |  5  |  13 |  9  | 7  |  22 |  5  |
|      file      |  51 |    17    |  4  |  3  |  17 |  11 | 0  |  2  |  5  |
|   provisions   |  10 |    34    |  16 |  2  |  1  |  10 | 0  |  5  |  34 |
|   mentioned    |  12 |    6     |  3  |  0  |  6  |  6  | 1  |  3  |  2  |
|     liable     |  11 |    8     |  8  |  0  |  5  |  3  | 0  |  3  |  2  |
|     years      |  11 |    6     |  4  |  1  |  0  |  2  | 2  |  3  |  6  |
|    minimum     |  10 |    11    |  11 |  2  |  2  |  2  | 0  |  3  |  2  |
|    Officer     |  14 |    10    |  10 |  0  |  4  |  2  | 0  |  2  |  7  |
|  Commissioner  |  17 |    37    |  11 |  4  |  7  |  2  | 5  |  37 |  7  |
|    October     |  14 |    6     |  6  |  1  |  2  |  2  | 0  |  0  |  1  |
|     first      |  10 |    23    |  23 |  0  |  5  |  9  | 2  |  1  |  1  |
|    included    |  12 |    8     |  8  |  2  |  1  |  2  | 0  |  1  |  1  |
|       4.       |  21 |    10    |  10 |  2  |  4  |  5  | 0  |  1  |  4  |
|     place      |  17 |    29    |  29 |  2  |  3  |  20 | 0  |  5  |  20 |
|  Corporation   |  14 |    5     |  2  |  0  |  0  |  5  | 0  |  1  |  0  |
|      May       |  16 |    3     |  3  |  0  |  3  |  2  | 0  |  0  |  3  |
|     Zonal      |  10 |    9     |  0  |  0  |  0  |  9  | 0  |  0  |  0  |
|    relevant    |  10 |    12    |  12 |  1  |  8  |  5  | 3  |  11 |  6  |
|  constituted   |  10 |    3     |  0  |  0  |  0  |  1  | 0  |  1  |  3  |
|   following    |  9  |    8     |  6  |  1  |  1  |  0  | 0  |  8  |  5  |
| consideration  |  10 |    17    |  17 |  4  |  10 |  13 | 4  |  10 |  9  |
|     claim      |  21 |    14    |  12 |  1  |  7  |  14 | 6  |  2  |  6  |
|   prescribed   |  10 |    11    |  9  |  0  |  0  |  2  | 0  |  3  |  11 |
|  (hereinafter  |  9  |    4     |  0  |  3  |  1  |  0  | 0  |  0  |  4  |
|   September    |  14 |    3     |  3  |  1  |  2  |  3  | 0  |  0  |  1  |
|    notified    |  19 |    4     |  2  |  0  |  2  |  4  | 0  |  0  |  0  |
|      take      |  29 |    19    |  18 |  4  |  8  |  19 | 3  |  3  |  13 |
|     number     |  14 |    8     |  4  |  1  |  3  |  4  | 0  |  8  |  1  |
|      upon      |  10 |    18    |  13 |  2  |  9  |  0  | 6  |  18 |  3  |
|     terms      |  9  |    16    |  16 |  1  |  7  |  11 | 2  |  5  |  3  |
|      roll      |  15 |    12    |  12 |  1  |  1  |  5  | 1  |  2  |  3  |
|    entries     |  9  |    2     |  2  |  0  |  0  |  2  | 0  |  0  |  0  |
|      side      |  55 |    59    |  40 |  5  |  28 |  59 | 10 |  44 |  17 |
|    accident    |  14 |    9     |  9  |  1  |  3  |  0  | 0  |  0  |  1  |
|      road      |  15 |    10    |  7  |  1  |  10 |  1  | 0  |  2  |  1  |
|      car       |  23 |    26    |  26 |  2  |  4  |  3  | 5  |  15 |  12 |
|     total      |  12 |    6     |  5  |  2  |  1  |  2  | 1  |  6  |  1  |
|     course     |  18 |    18    |  18 |  1  |  1  |  11 | 0  |  18 |  7  |
|   qualifying   |  9  |    8     |  8  |  2  |  1  |  0  | 0  |  2  |  0  |
|     Match      |  9  |    6     |  0  |  0  |  6  |  0  | 0  |  2  |  5  |
|    January     |  8  |    5     |  5  |  0  |  1  |  0  | 0  |  0  |  0  |
|       PW       |  11 |    11    |  1  |  0  |  11 |  2  | 0  |  0  |  0  |
|      sum       |  18 |    10    |  6  |  1  |  7  |  10 | 1  |  7  |  4  |
|    Customs     |  11 |    4     |  0  |  0  |  4  |  2  | 0  |  1  |  3  |
|    decision    |  13 |    22    |  3  |  10 |  8  |  14 | 5  |  22 |  1  |
|    several     |  9  |    2     |  2  |  0  |  1  |  1  | 0  |  1  |  0  |
|   considered   |  9  |    17    |  8  |  0  |  4  |  17 | 5  |  6  |  1  |
|   different    |  8  |    4     |  4  |  2  |  2  |  4  | 0  |  2  |  1  |
|     Court,     |  8  |    5     |  3  |  1  |  4  |  3  | 0  |  5  |  1  |
|    granted     |  8  |    7     |  7  |  6  |  7  |  2  | 0  |  3  |  5  |
|    capital     |  8  |    10    |  1  |  1  |  10 |  3  | 1  |  4  |  7  |
|  transferred   |  9  |    2     |  2  |  0  |  1  |  2  | 0  |  0  |  0  |
|      (1)       |  14 |    23    |  14 |  4  |  7  |  13 | 4  |  5  |  23 |
|      1949      |  15 |    2     |  0  |  0  |  0  |  1  | 0  |  2  |  0  |
|     papers     |  9  |    3     |  1  |  0  |  3  |  2  | 0  |  0  |  2  |
|      part      | 107 |    83    |  67 |  8  |  83 |  54 | 4  |  37 |  50 |
|   unnotified   |  8  |    1     |  0  |  0  |  1  |  1  | 0  |  0  |  0  |
|      fact      |  40 |    63    |  29 |  5  |  32 |  27 | 18 |  63 |  32 |
|      back      |  17 |    4     |  4  |  1  |  2  |  1  | 1  |  2  |  0  |
|      date      |  78 |    53    |  53 |  11 |  19 |  31 | 0  |  27 |  14 |
|       3.       |  13 |    9     |  6  |  1  |  2  |  3  | 0  |  3  |  9  |
|      30th      |  8  |    4     |  2  |  0  |  0  |  0  | 0  |  0  |  4  |
|       4        | 159 |    77    |  77 |  23 |  27 |  40 | 39 |  73 |  67 |
|    auction     |  13 |    23    |  23 |  0  |  2  |  21 | 1  |  8  |  0  |
|    original    |  9  |    4     |  1  |  0  |  4  |  3  | 0  |  2  |  2  |
|   Promotion    |  9  |    11    |  3  |  0  |  1  |  11 | 0  |  3  |  1  |
|     Police     |  8  |    2     |  0  |  0  |  0  |  2  | 0  |  0  |  0  |
|   Selection    |  9  |    5     |  5  |  0  |  0  |  4  | 0  |  1  |  0  |
|      show      |  13 |    9     |  6  |  2  |  1  |  9  | 0  |  5  |  7  |
|    general     |  9  |    9     |  9  |  1  |  0  |  1  | 0  |  6  |  2  |
|   agreement    |  8  |    7     |  1  |  0  |  7  |  4  | 0  |  5  |  2  |
|     Mills      |  9  |    4     |  0  |  0  |  1  |  0  | 0  |  1  |  4  |
|      Dr.       |  8  |    7     |  7  |  0  |  0  |  0  | 0  |  7  |  0  |
| manufacturing  |  8  |    3     |  0  |  0  |  3  |  0  | 0  |  0  |  2  |
|    executed    |  8  |    3     |  1  |  0  |  1  |  0  | 3  |  1  |  0  |
|    Trichur     |  8  |    1     |  0  |  1  |  1  |  1  | 0  |  0  |  0  |
|    Railway     |  7  |    1     |  0  |  1  |  0  |  1  | 0  |  1  |  1  |
|    Station     |  7  |    1     |  0  |  1  |  0  |  1  | 0  |  0  |  0  |
|     steel      |  7  |    1     |  1  |  0  |  0  |  1  | 0  |  0  |  0  |
|     goods      |  13 |    55    |  55 |  2  |  3  |  1  | 1  |  12 |  28 |
|      make      |  7  |    9     |  9  |  0  |  3  |  5  | 0  |  7  |  6  |
|    amended     |  8  |    14    |  8  |  3  |  1  |  14 | 0  |  0  |  7  |
|     Civil      |  7  |    42    |  3  |  6  |  2  |  7  | 42 |  1  |  0  |
|      Suit      |  7  |    2     |  0  |  0  |  2  |  0  | 0  |  0  |  0  |
|   execution    |  7  |    10    |  0  |  1  |  1  |  10 | 2  |  3  |  1  |
|    Article     |  8  |    2     |  0  |  0  |  0  |  1  | 1  |  0  |  2  |
|  Constitution  |  12 |    5     |  4  |  1  |  2  |  2  | 1  |  3  |  5  |
|    whether     |  7  |    27    |  18 |  10 |  6  |  10 | 4  |  27 |  14 |
|      new       |  9  |    5     |  1  |  1  |  1  |  5  | 0  |  1  |  5  |
|   reference    |  7  |    7     |  7  |  2  |  2  |  1  | 2  |  1  |  2  |
|    assessee    |  18 |    30    |  22 |  8  |  30 |  10 | 8  |  6  |  7  |
|   Appellate    |  7  |    8     |  6  |  5  |  8  |  1  | 1  |  1  |  0  |
|      10,       |  9  |    2     |  2  |  1  |  2  |  1  | 0  |  0  |  2  |
|     Purnea     |  7  |    0     |  0  |  0  |  0  |  0  | 0  |  0  |  0  |
|   collection   |  9  |    8     |  0  |  0  |  8  |  5  | 0  |  0  |  0  |
|    pleaded     |  8  |    0     |  0  |  0  |  0  |  0  | 0  |  0  |  0  |
|    account     |  10 |    18    |  18 |  3  |  8  |  6  | 0  |  2  |  18 |
|     April,     |  7  |    3     |  1  |  0  |  0  |  3  | 0  |  0  |  0  |
|      find      |  14 |    18    |  11 |  3  |  5  |  18 | 6  |  17 |  0  |
|    villages    |  8  |    0     |  0  |  0  |  0  |  0  | 0  |  0  |  0  |
|      27,       |  10 |    1     |  0  |  0  |  1  |  1  | 0  |  0  |  1  |
|   according    |  11 |    17    |  4  |  1  |  4  |  17 | 1  |  4  |  3  |
|    persons     |  7  |    6     |  2  |  0  |  0  |  2  | 1  |  1  |  6  |
|     three      |  7  |    9     |  5  |  0  |  2  |  9  | 0  |  3  |  5  |
|  preliminary   |  7  |    22    |  6  |  1  |  4  |  22 | 0  |  3  |  0  |
|     Kumar      |  10 |    14    |  10 |  0  |  14 |  1  | 0  |  8  |  0  |
|    another     |  7  |    7     |  2  |  0  |  0  |  2  | 0  |  7  |  5  |
|    Northern    |  7  |    2     |  1  |  0  |  1  |  2  | 0  |  0  |  0  |
|   seniority    |  9  |    2     |  2  |  0  |  0  |  1  | 0  |  0  |  0  |
|      writ      |  11 |    5     |  4  |  0  |  3  |  5  | 1  |  3  |  4  |
|     entry      |  7  |    3     |  0  |  0  |  1  |  3  | 0  |  0  |  1  |
| classification |  9  |    2     |  0  |  0  |  0  |  0  | 0  |  2  |  0  |
|    remarks     |  7  |    9     |  0  |  0  |  0  |  9  | 0  |  0  |  0  |
|     cause      |  20 |    21    |  21 |  0  |  6  |  9  | 4  |  8  |  5  |
|       5.       |  14 |    10    |  10 |  0  |  5  |  1  | 0  |  6  |  7  |
|      Mr.       |  7  |    8     |  8  |  0  |  0  |  3  | 0  |  2  |  0  |
|    Company     |  12 |    6     |  5  |  0  |  0  |  1  | 0  |  6  |  6  |
|     Rakesh     |  9  |    14    |  4  |  0  |  14 |  1  | 0  |  0  |  0  |
|    M.B.B.S.    |  7  |    4     |  3  |  1  |  0  |  1  | 0  |  4  |  0  |
|    colleges    |  8  |    5     |  5  |  0  |  0  |  0  | 0  |  2  |  0  |
|  eligibility   |  8  |    11    |  11 |  0  |  0  |  1  | 0  |  4  |  0  |
|     scheme     |  8  |    5     |  5  |  0  |  0  |  5  | 0  |  2  |  3  |
|     rules      |  8  |    8     |  8  |  1  |  2  |  5  | 1  |  2  |  8  |
|    courses     |  9  |    11    |  11 |  0  |  1  |  6  | 0  |  10 |  1  |
|      1967      |  17 |    5     |  5  |  0  |  0  |  1  | 0  |  5  |  0  |
|      CIT       |  9  |    14    |  14 |  5  |  3  |  1  | 0  |  0  |  0  |
|    Central     |  6  |    14    |  8  |  0  |  3  |  3  | 1  |  2  |  14 |
|    special     |  9  |    8     |  3  |  6  |  2  |  2  | 0  |  8  |  2  |
|    judgment    |  12 |    29    |  18 |  8  |  8  |  29 | 1  |  13 |  2  |
|       9,       |  21 |    6     |  6  |  2  |  2  |  2  | 0  |  3  |  4  |
|     trunk      |  7  |    1     |  0  |  0  |  0  |  1  | 0  |  0  |  0  |
|      duty      |  8  |    15    |  15 |  0  |  3  |  4  | 0  |  12 |  4  |
|     found      |  8  |    13    |  6  |  0  |  7  |  9  | 4  |  13 |  2  |
|     seized     |  7  |    4     |  0  |  1  |  4  |  4  | 0  |  0  |  1  |
|   Additional   |  6  |    1     |  0  |  0  |  1  |  0  | 0  |  0  |  0  |
|    District    |  10 |    4     |  0  |  0  |  4  |  2  | 0  |  0  |  0  |
|      gave      |  6  |    1     |  1  |  0  |  0  |  0  | 0  |  0  |  0  |
|   contained    |  6  |    11    |  2  |  1  |  1  |  3  | 0  |  1  |  11 |
|     handed     |  6  |    3     |  0  |  0  |  0  |  2  | 0  |  0  |  3  |
|     called     |  7  |    6     |  4  |  2  |  0  |  0  | 0  |  3  |  6  |
|      give      |  18 |    20    |  19 |  3  |  9  |  13 | 2  |  20 |  9  |
|    dispute     |  13 |    8     |  7  |  1  |  8  |  4  | 0  |  3  |  2  |
|    brought     |  6  |    1     |  0  |  1  |  1  |  0  | 0  |  1  |  0  |
|     India      |  21 |    18    |  17 |  3  |  3  |  6  | 0  |  18 |  12 |
|     areas      |  7  |    8     |  2  |  1  |  0  |  0  | 0  |  8  |  0  |
|    obtained    |  6  |    6     |  2  |  0  |  3  |  1  | 0  |  6  |  1  |
|     aside      |  6  |    17    |  1  |  1  |  4  |  17 | 1  |  3  |  1  |
|     Order      |  7  |    16    |  6  |  0  |  16 |  14 | 4  |  1  |  7  |
|      1st       |  8  |    3     |  1  |  2  |  0  |  1  | 0  |  0  |  3  |
|     C.P.C.     |  6  |    5     |  0  |  0  |  2  |  5  | 0  |  3  |  0  |
|   instrument   |  6  |    5     |  1  |  0  |  3  |  0  | 0  |  0  |  5  |
|     lease      |  13 |    10    |  4  |  1  |  6  |  10 | 0  |  7  |  2  |
|    payment     |  8  |    24    |  16 |  0  |  4  |  6  | 0  |  8  |  24 |
|   conclusion   |  6  |    21    |  8  |  1  |  7  |  6  | 2  |  21 |  1  |
|   preferred    |  6  |    2     |  0  |  0  |  2  |  0  | 0  |  0  |  1  |
|     within     |  6  |    8     |  6  |  0  |  3  |  8  | 4  |  8  |  4  |
|     known      |  6  |    2     |  2  |  0  |  0  |  0  | 2  |  0  |  1  |
|      etc.      |  6  |    10    |  10 |  0  |  0  |  0  | 1  |  10 |  1  |
|    received    |  6  |    9     |  9  |  0  |  4  |  2  | 1  |  2  |  7  |
|     1950,      |  8  |    2     |  0  |  0  |  1  |  0  | 0  |  2  |  0  |
|       2,       |  41 |    7     |  2  |  4  |  5  |  7  | 1  |  6  |  5  |
|     Singh      |  6  |    5     |  2  |  0  |  1  |  3  | 0  |  5  |  0  |
|      1950      |  19 |    5     |  1  |  0  |  5  |  3  | 0  |  5  |  3  |
|     letter     |  7  |    4     |  4  |  0  |  0  |  0  | 0  |  2  |  3  |
|     taking     |  8  |    7     |  2  |  0  |  3  |  4  | 1  |  7  |  3  |
|     July,      |  6  |    0     |  0  |  0  |  0  |  0  | 0  |  0  |  0  |
|     plaint     |  62 |    23    |  6  |  0  |  23 |  21 | 0  |  8  |  3  |
|    alleged     |  6  |    4     |  1  |  0  |  4  |  3  | 0  |  1  |  1  |
|    allowed     |  6  |    27    |  0  |  1  |  9  |  27 | 1  |  2  |  0  |
|     Income     |  28 |    14    |  13 |  7  |  7  |  4  | 1  |  12 |  14 |
|      Tax       |  12 |    7     |  7  |  3  |  4  |  2  | 0  |  7  |  3  |
|     issue      |  32 |    29    |  29 |  1  |  14 |  11 | 1  |  7  |  13 |
|      Nos.      |  9  |    9     |  2  |  2  |  9  |  1  | 6  |  1  |  0  |
|     along      |  7  |    2     |  2  |  0  |  1  |  1  | 0  |  1  |  0  |
|    arrears     |  6  |    3     |  0  |  0  |  3  |  3  | 0  |  0  |  1  |
|     regard     |  10 |    13    |  10 |  1  |  5  |  13 | 2  |  3  |  9  |
|    payable     |  6  |    6     |  6  |  0  |  3  |  3  | 0  |  0  |  6  |
|   remaining    |  6  |    1     |  1  |  0  |  1  |  0  | 0  |  0  |  0  |
|      seen      |  6  |    4     |  0  |  0  |  0  |  4  | 0  |  2  |  0  |
|     time.      |  6  |    3     |  1  |  0  |  2  |  3  | 0  |  0  |  0  |
|   mortgaged    |  6  |    3     |  0  |  0  |  3  |  2  | 0  |  0  |  0  |
|      June      |  9  |    7     |  2  |  0  |  1  |  0  | 0  |  2  |  7  |
|    directed    |  6  |    4     |  1  |  2  |  2  |  3  | 1  |  4  |  0  |
|    Calcutta    |  7  |    1     |  0  |  0  |  1  |  1  | 0  |  1  |  0  |
|      well      |  7  |    6     |  6  |  2  |  3  |  5  | 2  |  5  |  2  |
|    parties     |  9  |    14    |  4  |  0  |  2  |  14 | 1  |  1  |  2  |
|    Eastern     |  7  |    1     |  1  |  0  |  0  |  0  | 0  |  0  |  0  |
|      1980      |  17 |    5     |  1  |  1  |  1  |  1  | 0  |  5  |  0  |
|     Deputy     |  6  |    1     |  1  |  0  |  0  |  0  | 0  |  0  |  1  |
|      May,      |  6  |    2     |  0  |  0  |  2  |  1  | 0  |  0  |  1  |
|    Service     |  7  |    2     |  1  |  0  |  2  |  2  | 0  |  0  |  2  |
|     driver     |  6  |    11    |  11 |  0  |  4  |  0  | 0  |  0  |  0  |
|    standing    |  9  |    9     |  9  |  0  |  3  |  2  | 0  |  0  |  4  |
|    provided    |  6  |    32    |  25 |  1  |  2  |  3  | 1  |  1  |  32 |
| educationally  |  6  |    1     |  0  |  0  |  0  |  0  | 0  |  1  |  0  |
|     merit      |  13 |    11    |  11 |  0  |  0  |  6  | 0  |  6  |  0  |
