

 F
+--------------------------+----+----------+----+----+----+----+----+----+----+
|          Phrase          | F  | Othermax | A  | I  | LR | R  | SO | SP | SS |
|         the land         | 12 |    13    | 3  | 1  | 13 | 9  | 0  | 1  | 1  |
|      the Income-tax      | 11 |    6     | 5  | 2  | 3  | 2  | 0  | 3  | 6  |
|       referred to        | 11 |    9     | 4  | 2  | 0  | 6  | 0  | 5  | 9  |
|        could not         | 11 |    9     | 9  | 1  | 8  | 7  | 0  | 4  | 0  |
|         on March         | 11 |    2     | 1  | 0  | 1  | 2  | 0  | 0  | 2  |
|     the confidential     | 11 |    8     | 0  | 0  | 0  | 8  | 0  | 0  | 0  |
|      for admission       | 12 |    18    | 18 | 1  | 1  | 3  | 0  | 11 | 0  |
|         made by          | 10 |    9     | 3  | 1  | 3  | 6  | 4  | 2  | 9  |
|         the sale         | 11 |    9     | 7  | 1  | 9  | 3  | 1  | 2  | 6  |
|         the suit         | 15 |    20    | 2  | 0  | 16 | 20 | 0  | 2  | 0  |
|        was issued        | 10 |    1     | 1  | 0  | 1  | 0  | 0  | 1  | 1  |
|         the name         | 14 |    9     | 4  | 0  | 9  | 0  | 0  | 1  | 1  |
|        the order         | 10 |    13    | 13 | 8  | 9  | 10 | 0  | 3  | 6  |
|         under s.         | 11 |    4     | 4  | 1  | 3  | 1  | 2  | 1  | 2  |
|          It was          | 9  |    13    | 13 | 1  | 5  | 3  | 1  | 5  | 0  |
|      provisions of       | 9  |    23    | 7  | 2  | 1  | 7  | 0  | 0  | 23 |
|        period of         | 9  |    4     | 1  | 1  | 1  | 4  | 0  | 2  | 1  |
|         land in          | 10 |    7     | 1  | 0  | 7  | 2  | 0  | 1  | 0  |
|    Income-tax Officer    | 9  |    6     | 4  | 0  | 2  | 1  | 0  | 1  | 6  |
|       the purpose        | 9  |    7     | 7  | 2  | 4  | 7  | 2  | 3  | 6  |
|       the Tribunal       | 12 |    27    | 5  | 3  | 27 | 5  | 6  | 2  | 1  |
|      the management      | 9  |    8     | 0  | 0  | 0  | 2  | 0  | 0  | 8  |
|         name of          | 9  |    6     | 3  | 0  | 6  | 0  | 0  | 1  | 1  |
|     the respondents      | 13 |    16    | 16 | 3  | 7  | 6  | 4  | 6  | 0  |
|        the Zonal         | 9  |    9     | 0  | 0  | 0  | 9  | 0  | 0  | 0  |
|    confidential roll     | 15 |    5     | 1  | 0  | 0  | 5  | 0  | 1  | 0  |
|     the registration     | 10 |    6     | 6  | 3  | 4  | 1  | 0  | 0  | 0  |
|       the partners       | 26 |    30    | 11 | 1  | 30 | 0  | 2  | 3  | 9  |
|       Collector of       | 8  |    2     | 0  | 0  | 0  | 2  | 0  | 0  | 2  |
|        the facts         | 8  |    9     | 6  | 1  | 1  | 9  | 4  | 7  | 1  |
|      the following       | 8  |    7     | 5  | 1  | 1  | 0  | 0  | 7  | 3  |
|        liable to         | 8  |    7     | 7  | 0  | 4  | 2  | 0  | 3  | 2  |
|      under Section       | 8  |    16    | 16 | 6  | 3  | 5  | 0  | 5  | 4  |
|          one of          | 9  |    4     | 2  | 0  | 4  | 1  | 2  | 4  | 0  |
|        an appeal         | 8  |    4     | 1  | 2  | 4  | 0  | 0  | 0  | 1  |
|  (hereinafter referred   | 8  |    2     | 0  | 2  | 0  | 0  | 0  | 0  | 2  |
|      management of       | 8  |    11    | 0  | 0  | 1  | 1  | 0  | 0  | 11 |
|          No. 2           | 15 |    9     | 1  | 1  | 5  | 9  | 5  | 0  | 0  |
|        the appeal        | 9  |    10    | 1  | 1  | 10 | 8  | 0  | 1  | 0  |
|        number of         | 8  |    8     | 4  | 1  | 2  | 3  | 0  | 8  | 1  |
|       the present        | 8  |    8     | 8  | 2  | 1  | 5  | 0  | 1  | 1  |
|     the Corporation      | 12 |    5     | 2  | 0  | 0  | 5  | 0  | 0  | 0  |
|        the seats         | 8  |    3     | 0  | 0  | 0  | 1  | 0  | 3  | 0  |
|       admission to       | 8  |    8     | 8  | 0  | 1  | 3  | 0  | 5  | 0  |
|     Railway Station      | 7  |    1     | 0  | 1  | 0  | 1  | 0  | 0  | 0  |
|          the 28          | 7  |    0     | 0  | 0  | 0  | 0  | 0  | 0  | 0  |
|        on August         | 7  |    1     | 0  | 1  | 0  | 0  | 0  | 1  | 0  |
|       the decision       | 8  |    6     | 3  | 1  | 2  | 4  | 2  | 6  | 1  |
|      the provisions      | 7  |    22    | 7  | 2  | 1  | 6  | 0  | 1  | 22 |
|     the Constitution     | 10 |    4     | 2  | 1  | 2  | 2  | 1  | 0  | 4  |
|         suit was         | 7  |    4     | 1  | 0  | 4  | 1  | 0  | 1  | 0  |
|        purpose of        | 7  |    4     | 4  | 3  | 3  | 2  | 2  | 2  | 0  |
|         of Bihar         | 11 |    5     | 1  | 0  | 1  | 5  | 0  | 0  | 0  |
|      The plaintiff       | 8  |    0     | 0  | 0  | 0  | 0  | 0  | 0  | 0  |
|         and also         | 7  |    3     | 3  | 0  | 0  | 1  | 0  | 1  | 1  |
|          On the          | 7  |    4     | 1  | 0  | 4  | 2  | 0  | 1  | 1  |
|         the Act.         | 7  |    4     | 4  | 2  | 2  | 2  | 0  | 4  | 3  |
|         set out          | 7  |    3     | 3  | 1  | 1  | 0  | 2  | 2  | 2  |
|       required to        | 7  |    5     | 2  | 0  | 2  | 5  | 0  | 4  | 0  |
|       High Court.        | 7  |    4     | 1  | 3  | 1  | 4  | 0  | 0  | 0  |
|       included in        | 7  |    4     | 4  | 1  | 1  | 2  | 0  | 0  | 0  |
|       according to       | 7  |    3     | 3  | 1  | 2  | 3  | 1  | 1  | 0  |
|         pay the          | 7  |    5     | 5  | 0  | 3  | 2  | 0  | 2  | 1  |
|       the auction        | 9  |    16    | 3  | 0  | 1  | 16 | 1  | 3  | 0  |
|       the Northern       | 7  |    2     | 1  | 0  | 1  | 2  | 0  | 0  | 0  |
|         order of         | 7  |    8     | 7  | 7  | 4  | 8  | 0  | 2  | 3  |
|         case of          | 7  |    22    | 13 | 2  | 5  | 22 | 0  | 6  | 6  |
|     Zonal Promotion      | 7  |    9     | 0  | 0  | 0  | 9  | 0  | 0  | 0  |
|   Promotion Committee    | 7  |    11    | 0  | 0  | 0  | 11 | 0  | 0  | 0  |
|         filed by         | 7  |    7     | 1  | 2  | 7  | 1  | 0  | 1  | 0  |
|       the adverse        | 7  |    6     | 2  | 0  | 0  | 6  | 0  | 0  | 0  |
|     registration of      | 7  |    4     | 4  | 0  | 1  | 1  | 0  | 0  | 0  |
|        the total         | 7  |    3     | 3  | 2  | 1  | 1  | 1  | 2  | 0  |
|       agreement to       | 7  |    5     | 0  | 0  | 5  | 2  | 0  | 0  | 0  |
|         the two          | 7  |    4     | 2  | 1  | 4  | 3  | 1  | 0  | 1  |
|        shares of         | 7  |    5     | 2  | 0  | 0  | 0  | 0  | 1  | 5  |
|       partners of        | 7  |    14    | 1  | 0  | 14 | 0  | 0  | 1  | 0  |
|         the CIT          | 9  |    14    | 14 | 5  | 3  | 1  | 0  | 0  | 0  |
|     Trichur Railway      | 6  |    1     | 0  | 1  | 0  | 1  | 0  | 0  | 0  |
|      The respondent      | 8  |    4     | 2  | 0  | 4  | 0  | 0  | 0  | 0  |
|          sum of          | 6  |    4     | 0  | 0  | 1  | 4  | 0  | 1  | 0  |
|      the Additional      | 6  |    0     | 0  | 0  | 0  | 0  | 0  | 0  | 0  |
|   Additional Collector   | 6  |    0     | 0  | 0  | 0  | 0  | 0  | 0  | 0  |
|         to him.          | 6  |    2     | 0  | 0  | 2  | 2  | 0  | 0  | 0  |
|      the Collector       | 8  |    2     | 2  | 0  | 0  | 0  | 0  | 0  | 2  |
|       the District       | 7  |    1     | 0  | 0  | 1  | 1  | 0  | 0  | 0  |
|        the effect        | 6  |    4     | 2  | 2  | 0  | 4  | 1  | 2  | 1  |
|      an application      | 6  |    2     | 1  | 0  | 2  | 1  | 1  | 0  | 1  |
|        the decree        | 10 |    16    | 1  | 0  | 2  | 16 | 1  | 3  | 7  |
|        section 3         | 9  |    6     | 0  | 0  | 6  | 4  | 0  | 1  | 1  |
|      under Article       | 6  |    1     | 0  | 0  | 0  | 1  | 0  | 0  | 0  |
|     was transferred      | 7  |    1     | 1  | 0  | 0  | 0  | 0  | 0  | 0  |
|         known as         | 6  |    1     | 0  | 0  | 0  | 0  | 1  | 0  | 0  |
|       on September       | 6  |    1     | 1  | 0  | 0  | 1  | 0  | 0  | 0  |
|       the Manager        | 7  |    7     | 0  | 0  | 0  | 3  | 0  | 0  | 7  |
|      plaintiff and       | 6  |    1     | 0  | 0  | 0  | 0  | 0  | 0  | 1  |
|       pleaded that       | 6  |    0     | 0  | 0  | 0  | 0  | 0  | 0  | 0  |
|        account of        | 6  |    5     | 4  | 0  | 3  | 2  | 0  | 0  | 5  |
|         share of         | 6  |    4     | 0  | 0  | 4  | 0  | 0  | 0  | 0  |
|        Income Tax        | 6  |    3     | 3  | 3  | 2  | 1  | 0  | 3  | 1  |
|     notification was     | 6  |    1     | 0  | 0  | 0  | 1  | 0  | 0  | 1  |
|        along with        | 6  |    1     | 0  | 0  | 1  | 1  | 0  | 1  | 0  |
|        passed by         | 6  |    8     | 3  | 5  | 0  | 8  | 1  | 0  | 0  |
|         share in         | 6  |    2     | 2  | 0  | 2  | 1  | 0  | 0  | 0  |
|       the notified       | 6  |    1     | 0  | 0  | 1  | 0  | 0  | 0  | 0  |
|        regard to         | 6  |    7     | 7  | 1  | 1  | 7  | 0  | 2  | 0  |
|      the unnotified      | 6  |    1     | 0  | 0  | 0  | 1  | 0  | 0  | 0  |
|      the remaining       | 6  |    1     | 1  | 0  | 1  | 0  | 0  | 0  | 0  |
|    preliminary decree    | 7  |    18    | 6  | 1  | 4  | 18 | 0  | 0  | 0  |
|        30th June         | 7  |    4     | 0  | 0  | 0  | 0  | 0  | 0  | 4  |
|         as well          | 7  |    3     | 2  | 1  | 0  | 3  | 0  | 2  | 1  |
|       the original       | 6  |    3     | 1  | 0  | 3  | 2  | 0  | 0  | 1  |
|      Indian Police       | 6  |    2     | 0  | 0  | 0  | 2  | 0  | 0  | 0  |
|      Police Service      | 6  |    2     | 0  | 0  | 0  | 2  | 0  | 0  | 0  |
|      the Committee       | 7  |    8     | 1  | 0  | 0  | 8  | 0  | 1  | 0  |
|   Selection Committee    | 7  |    5     | 5  | 0  | 0  | 4  | 0  | 0  | 0  |
|        been made         | 6  |    4     | 1  | 0  | 2  | 4  | 1  | 2  | 2  |
|    the classification    | 8  |    1     | 0  | 0  | 0  | 0  | 0  | 1  | 0  |
|     adverse remarks      | 6  |    3     | 0  | 0  | 0  | 3  | 0  | 0  | 0  |
|        driver of         | 6  |    7     | 7  | 0  | 4  | 0  | 0  | 0  | 0  |
|         the car          | 7  |    5     | 5  | 0  | 0  | 0  | 0  | 0  | 0  |
|       the profits        | 6  |    4     | 2  | 0  | 4  | 1  | 1  | 1  | 1  |
|       Rakesh Kumar       | 9  |    14    | 4  | 0  | 14 | 1  | 0  | 0  | 0  |
|       the business       | 7  |    4     | 1  | 0  | 4  | 0  | 1  | 1  | 3  |
|    and educationally     | 6  |    1     | 0  | 0  | 0  | 0  | 0  | 1  | 0  |
|    Petitioner Company    | 6  |    3     | 0  | 0  | 0  | 0  | 0  | 0  | 3  |
|         The High         | 6  |    19    | 4  | 0  | 19 | 7  | 1  | 1  | 0  |
|     the Commissioner     | 6  |    17    | 0  | 1  | 1  | 0  | 0  | 17 | 0  |
|        Excise and        | 6  |    3     | 3  | 0  | 2  | 0  | 0  | 2  | 1  |
|       and Taxation       | 6  |    3     | 3  | 0  | 0  | 0  | 0  | 1  | 0  |
|        show cause        | 7  |    0     | 0  | 0  | 0  | 0  | 0  | 0  | 0  |
|      special leave       | 6  |    6     | 0  | 6  | 2  | 0  | 0  | 0  | 0  |
|       steel trunk        | 6  |    1     | 0  | 0  | 0  | 1  | 0  | 0  | 0  |
|       in question        | 6  |    5     | 5  | 4  | 2  | 2  | 0  | 1  | 2  |
|         of India         | 8  |    8     | 6  | 1  | 1  | 3  | 0  | 8  | 6  |
|      respondent No.      | 6  |    1     | 0  | 0  | 1  | 1  | 0  | 0  | 0  |
|          a suit          | 6  |    6     | 0  | 1  | 0  | 6  | 0  | 1  | 4  |
|        filed the         | 7  |    0     | 0  | 0  | 0  | 0  | 0  | 0  | 0  |
|          3 (1)           | 7  |    2     | 0  | 0  | 2  | 0  | 0  | 0  | 0  |
|          (1) of          | 9  |    10    | 5  | 1  | 5  | 6  | 0  | 1  | 10 |
|         Court in         | 6  |    18    | 11 | 4  | 3  | 8  | 0  | 18 | 0  |
|     the notification     | 7  |    6     | 6  | 0  | 0  | 2  | 0  | 1  | 5  |
|        the amount        | 6  |    14    | 14 | 0  | 5  | 2  | 1  | 4  | 7  |
|         is made          | 6  |    5     | 5  | 1  | 0  | 3  | 0  | 0  | 4  |
|         taken by         | 6  |    5     | 1  | 0  | 3  | 5  | 0  | 0  | 0  |
|         upon the         | 8  |    8     | 8  | 1  | 4  | 0  | 3  | 6  | 1  |
|     Northern Region      | 7  |    2     | 1  | 0  | 1  | 2  | 0  | 0  | 0  |
|         his case         | 11 |    7     | 7  | 2  | 1  | 7  | 0  | 2  | 0  |
|        the select        | 6  |    8     | 8  | 0  | 0  | 1  | 0  | 2  | 0  |
|       the accident       | 7  |    8     | 8  | 0  | 2  | 0  | 0  | 0  | 0  |
|     of registration      | 7  |    2     | 2  | 2  | 0  | 1  | 0  | 0  | 0  |
|       service tax        | 6  |    13    | 13 | 1  | 0  | 2  | 0  | 2  | 12 |
|       socially and       | 6  |    1     | 0  | 0  | 0  | 0  | 0  | 1  | 0  |
|       the judgment       | 6  |    14    | 3  | 4  | 3  | 14 | 1  | 4  | 1  |
|           PW 1           | 6  |    1     | 0  | 0  | 0  | 1  | 0  | 0  | 0  |
|          No. 3           | 6  |    2     | 1  | 0  | 2  | 2  | 2  | 0  | 0  |
|      the plaintiffs      | 6  |    3     | 1  | 0  | 3  | 2  | 0  | 2  | 0  |
|       the service        | 6  |    55    | 55 | 1  | 0  | 2  | 0  | 1  | 8  |
|        the plaint        | 45 |    20    | 5  | 0  | 20 | 19 | 0  | 5  | 2  |
|        the period        | 6  |    3     | 2  | 0  | 1  | 2  | 0  | 3  | 3  |
|      notified share      | 7  |    2     | 0  | 0  | 2  | 1  | 0  | 0  | 0  |
|         the date         | 6  |    10    | 8  | 0  | 3  | 10 | 0  | 5  | 4  |
|       the question       | 6  |    12    | 6  | 2  | 8  | 4  | 1  | 12 | 2  |
|        the ground        | 6  |    8     | 6  | 1  | 8  | 2  | 0  | 6  | 2  |
|         the road         | 7  |    9     | 3  | 1  | 9  | 1  | 0  | 0  | 0  |
|        the truck         | 6  |    3     | 3  | 0  | 0  | 0  | 0  | 0  | 0  |
|         to sell          | 6  |    4     | 0  | 0  | 4  | 2  | 0  | 0  | 0  |
|       the assessee       | 12 |    28    | 17 | 7  | 28 | 9  | 7  | 5  | 5  |
|      of partnership      | 7  |    4     | 4  | 0  | 3  | 0  | 0  | 2  | 4  |
|       Match Works        | 8  |    5     | 0  | 0  | 5  | 0  | 0  | 0  | 5  |
|     for registration     | 6  |    3     | 3  | 0  | 0  | 0  | 0  | 0  | 3  |
|     the application      | 6  |    8     | 7  | 0  | 4  | 2  | 0  | 1  | 8  |
| registration certificate | 7  |    6     | 4  | 6  | 3  | 1  | 0  | 0  | 0  |
|       cause notice       | 6  |    0     | 0  | 0  | 0  | 0  | 0  | 0  | 0  |
|         Suit No.         | 7  |    2     | 0  | 0  | 2  | 0  | 0  | 0  | 0  |
|        the claim         | 7  |    11    | 4  | 1  | 4  | 11 | 1  | 1  | 0  |
|       The assessee       | 6  |    1     | 0  | 1  | 1  | 1  | 0  | 1  | 0  |
|          made a          | 8  |    7     | 7  | 0  | 3  | 3  | 0  | 2  | 4  |
|        in dispute        | 6  |    6     | 3  | 1  | 6  | 1  | 0  | 0  | 0  |
|        Mills Ltd.        | 7  |    1     | 0  | 0  | 0  | 0  | 0  | 0  | 1  |
|        this Court        | 7  |    27    | 6  | 3  | 8  | 11 | 1  | 27 | 0  |
|           3 of           | 8  |    6     | 6  | 0  | 3  | 2  | 4  | 0  | 6  |
|        The plaint        | 10 |    0     | 0  | 0  | 0  | 0  | 0  | 0  | 0  |
|         able to          | 17 |    17    | 17 | 2  | 8  | 10 | 1  | 3  | 3  |
|       the mortgage       | 8  |    3     | 0  | 0  | 3  | 3  | 0  | 0  | 0  |
|      writ petition       | 6  |    2     | 2  | 0  | 1  | 2  | 0  | 2  | 0  |
|        a partner         | 6  |    6     | 5  | 3  | 6  | 0  | 0  | 3  | 3  |
|     and educational      | 8  |    1     | 0  | 0  | 0  | 0  | 0  | 1  | 0  |
|  educationally backward  | 6  |    1     | 0  | 0  | 0  | 0  | 0  | 1  | 0  |
|         marks in         | 6  |    3     | 3  | 0  | 0  | 1  | 0  | 2  | 0  |
|     Medical College      | 7  |    6     | 6  | 1  | 0  | 1  | 0  | 4  | 0  |
|       the Income-        | 13 |    6     | 5  | 2  | 3  | 3  | 0  | 3  | 6  |
|      the provision       | 9  |    27    | 7  | 2  | 1  | 7  | 0  | 1  | 27 |
|        the Income        | 15 |    9     | 9  | 3  | 4  | 4  | 0  | 5  | 7  |
|          No. 1           | 9  |    15    | 6  | 3  | 1  | 2  | 15 | 0  | 4  |
|         ing the          | 72 |    54    | 54 | 9  | 30 | 49 | 6  | 31 | 39 |
|          the A           | 64 |    45    | 29 | 16 | 26 | 45 | 1  | 15 | 41 |
|         as also          | 7  |    8     | 8  | 0  | 7  | 2  | 1  | 7  | 0  |
|         s issued         | 12 |    4     | 4  | 0  | 1  | 1  | 0  | 1  | 1  |
|          Rs. 1,          | 6  |    2     | 0  | 0  | 0  | 2  | 0  | 0  | 1  |
|         of part          | 9  |    7     | 4  | 0  | 3  | 0  | 0  | 2  | 7  |
|          a part          | 11 |    10    | 10 | 3  | 7  | 5  | 0  | 8  | 6  |
|        his appeal        | 9  |    11    | 2  | 11 | 3  | 6  | 0  | 1  | 0  |
|      Government or       | 6  |    13    | 0  | 0  | 0  | 13 | 0  | 1  | 6  |
|         the part         | 34 |    33    | 17 | 2  | 33 | 16 | 3  | 5  | 11 |
|        long with         | 7  |    1     | 1  | 0  | 1  | 1  | 0  | 1  | 1  |
|          and 1           | 9  |    4     | 0  | 1  | 0  | 0  | 0  | 1  | 4  |
|         he facts         | 12 |    10    | 6  | 1  | 1  | 10 | 4  | 8  | 1  |
|           5 of           | 8  |    8     | 4  | 1  | 0  | 8  | 6  | 3  | 2  |
|       tax Officer        | 10 |    7     | 7  | 0  | 2  | 1  | 0  | 1  | 7  |
|          Act a           | 6  |    7     | 3  | 3  | 6  | 7  | 0  | 2  | 6  |
|      the defendant       | 17 |    20    | 3  | 0  | 20 | 10 | 0  | 1  | 4  |
+--------------------------+----+----------+----+----+----+----+----+----+----+


 LR
+--------------------+----+----------+----+----+----+----+----+----+----+
|       Phrase       | LR | Othermax | A  | F  | I  | R  | SO | SP | SS |
+--------------------+----+----------+----+----+----+----+----+----+----+
|     High Court     | 62 |    57    | 33 | 57 | 23 | 51 | 2  | 13 | 3  |
|      the High      | 40 |    42    | 23 | 42 | 17 | 36 | 1  | 8  | 1  |
|     held that      | 23 |    14    | 10 | 5  | 3  | 5  | 1  | 14 | 0  |
|    the Tribunal    | 27 |    12    | 5  | 12 | 3  | 5  | 6  | 2  | 1  |
|      The High      | 19 |    7     | 4  | 6  | 0  | 7  | 1  | 1  | 0  |
|   the defendants   | 19 |    16    | 1  | 16 | 0  | 8  | 0  | 0  | 0  |
|    the assessee    | 28 |    17    | 17 | 12 | 7  | 9  | 7  | 5  | 5  |
|   the plaintiff    | 20 |    38    | 5  | 38 | 0  | 19 | 0  | 5  | 2  |
|    partners of     | 14 |    7     | 1  | 7  | 0  | 0  | 0  | 1  | 0  |
|  the partnership   | 17 |    15    | 4  | 15 | 1  | 0  | 2  | 3  | 2  |
|      the said      | 12 |    29    | 7  | 29 | 1  | 13 | 0  | 5  | 9  |
|      the suit      | 16 |    20    | 2  | 15 | 0  | 20 | 0  | 2  | 0  |
|    the partners    | 30 |    26    | 11 | 26 | 1  | 0  | 2  | 3  | 9  |
|   the respondent   | 19 |    30    | 24 | 30 | 5  | 19 | 4  | 9  | 1  |
|      the Act       | 14 |    38    | 22 | 38 | 9  | 21 | 0  | 11 | 31 |
|   Division Bench   | 11 |    8     | 8  | 2  | 2  | 4  | 0  | 1  | 0  |
|    Rakesh Kumar    | 14 |    9     | 4  | 9  | 0  | 1  | 0  | 0  | 0  |
|   under section    | 10 |    14    | 2  | 14 | 1  | 4  | 0  | 3  | 1  |
|      the view      | 10 |    8     | 3  | 1  | 3  | 8  | 1  | 3  | 0  |
|    question of     | 10 |    22    | 6  | 2  | 3  | 3  | 6  | 22 | 0  |
|   the appellant    | 12 |    65    | 13 | 65 | 3  | 34 | 1  | 3  | 0  |
|    the evidence    | 9  |    7     | 1  | 3  | 0  | 3  | 4  | 7  | 0  |
|      the Code      | 10 |    23    | 1  | 14 | 6  | 23 | 2  | 0  | 5  |
|      of Order      | 9  |    7     | 1  | 3  | 0  | 7  | 0  | 1  | 2  |
|      Order 21      | 9  |    5     | 0  | 5  | 0  | 3  | 4  | 1  | 3  |
|       21 of        | 9  |    6     | 6  | 3  | 2  | 0  | 0  | 0  | 0  |
|      the sale      | 9  |    11    | 7  | 11 | 1  | 3  | 1  | 2  | 6  |
|  defendants were   | 9  |    4     | 0  | 4  | 0  | 1  | 0  | 0  | 0  |
|       It is        | 9  |    24    | 24 | 22 | 3  | 14 | 3  | 16 | 2  |
|       to pay       | 8  |    12    | 12 | 12 | 0  | 2  | 0  | 5  | 5  |
|     the ground     | 8  |    6     | 6  | 6  | 1  | 2  | 0  | 6  | 2  |
|     could not      | 8  |    11    | 9  | 11 | 1  | 7  | 0  | 4  | 0  |
|      the case      | 10 |    30    | 17 | 17 | 5  | 30 | 0  | 14 | 15 |
|     the appeal     | 10 |    9     | 1  | 9  | 1  | 8  | 0  | 1  | 0  |
|    trial court     | 9  |    2     | 1  | 1  | 0  | 2  | 0  | 0  | 0  |
|      view of       | 8  |    7     | 4  | 4  | 1  | 7  | 0  | 1  | 0  |
|    the learned     | 7  |    8     | 4  | 1  | 0  | 8  | 0  | 3  | 0  |
|       far as       | 7  |    7     | 6  | 2  | 2  | 7  | 0  | 1  | 3  |
|    the question    | 8  |    12    | 6  | 6  | 2  | 4  | 1  | 12 | 2  |
|      Court of      | 7  |    14    | 8  | 14 | 6  | 4  | 1  | 2  | 1  |
|      the land      | 13 |    12    | 3  | 12 | 1  | 9  | 0  | 1  | 1  |
|      filed by      | 7  |    7     | 1  | 7  | 2  | 1  | 0  | 1  | 0  |
|     the middle     | 7  |    4     | 0  | 4  | 1  | 1  | 0  | 0  | 0  |
|     middle of      | 7  |    5     | 0  | 5  | 1  | 1  | 0  | 0  | 0  |
|    ground that     | 6  |    5     | 5  | 5  | 2  | 3  | 0  | 5  | 2  |
|     the Court      | 6  |    12    | 4  | 2  | 0  | 12 | 3  | 10 | 6  |
|      terms of      | 6  |    14    | 14 | 5  | 1  | 8  | 2  | 2  | 1  |
|     the order      | 9  |    13    | 13 | 10 | 8  | 10 | 0  | 3  | 6  |
|      part of       | 6  |    12    | 7  | 4  | 0  | 12 | 0  | 9  | 4  |
|   the Appellate    | 6  |    4     | 3  | 4  | 3  | 1  | 1  | 1  | 0  |
|   the conclusion   | 6  |    8     | 5  | 5  | 1  | 6  | 2  | 8  | 0  |
|    The Division    | 6  |    1     | 1  | 0  | 0  | 0  | 0  | 0  | 0  |
|       In the       | 7  |    25    | 8  | 25 | 1  | 18 | 1  | 5  | 2  |
